question	ANNOTATION	ground_truth	matched_claim	matched_claim_paperID	ground_truth_paperID	matched_date	matched_authors	matched_journal	matched_title	matched_affiliation	distance
1. Infectious Dose – How much agent will make a healthy individual ill?	0	"A total dose of approximately 700,000 plaque-forming units (PFU) of the novel coronavirus SARS-CoV-2 infected cynomolgus macaques via combination intranasal and intratracheal exposure (106 TCID50 total dose)."	"To assess the protective potential of SARS-CoV-2 S-I53-50NPs, vaccinated macaques and contemporaneous control macaques (n=4) were infected with a total dose of 1 x 10 6 plaqueforming units (PFU) of a primary SARS-CoV-2 isolate (BetaCoV/France/IDF/0372/2020; passaged twice in VeroE6 cells) by combined intra-nasal and intra-tracheal routes at week 12, two weeks after the final immunization"	540378f9f42fa715541b0023bb027d64969ff2bf	None	2020-11-08	"Brouwer, Philip J. M.; Brinkkemper, Mitch; Maisonnasse, Pauline; Dereuddre-Bosquet, Nathalie; Grobben, Marloes; Claireaux, Mathieu; de Gast, Marlon; Marlin, Romain; Chesnais, Virginie; Diry, Ségolène; Allen, Joel D.; Watanabe, Yasunori; Giezen, Julia M.; Kerster, Gius; Turner, Hannah L.; van der Straten, Karlijn; van der Linden, Cynthia A.; Aldon, Yoann; Naninck, Thibaut; Bontjer, Ilja; Burger, Judith A.; Poniman, Meliawati; Mykytyn, Anna Z.; Okba, Nisreen M. A.; Schermer, Edith E.; van Breemen, Marielle J.; Ravichandran, Rashmi; Caniels, Tom G.; van Schooten, Jelle; Kahlaoui, Nidhal; Contreras, Vanessa; Lemaître, Julien; Chapon, Catherine; Ho Tsong Fang, Raphaël; Villaudy, Julien; Sliepen, Kwinten; van der Velden, Yme U.; Haagmans, Bart L.; de Bree, Godelieve J.; Ginoux, Eric; Ward, Andrew B.; Crispin, Max; King, Neil P.; van der Werf, Sylvie; van Gils, Marit J.; Grand, Roger Le; Sanders, Rogier W."	bioRxiv	Two-component spike nanoparticle vaccine protects macaques from SARS-CoV-2 infection	UMC;University of Amsterdam	0.279407668
1. Infectious Dose – How much agent will make a healthy individual ill?	-2	"A total dose of approximately 700,000 plaque-forming units (PFU) of the novel coronavirus SARS-CoV-2 infected cynomolgus macaques via combination intranasal and intratracheal exposure (106 TCID50 total dose)."	"The human infective dose for SARS-CoV has been estimated at 16-160 plaque-forming units (Watanabe et al., 2010) "	b13089af02ee7d5bc083f7e985b5dcb9074fb157	None	2020-09-08	"Ijaz, M. Khalid; Sattar, Syed A.; Rubino, Joseph R.; Nims, Raymond W.; Gerba, Charles P."	PeerJ	Combating SARS-CoV-2: leveraging microbicidal experiences with other emerging/re-emerging viruses	;University of Arizona	0.313703705
1. Infectious Dose – How much agent will make a healthy individual ill?	0	"A total dose of approximately 700,000 plaque-forming units (PFU) of the novel coronavirus SARS-CoV-2 infected cynomolgus macaques via combination intranasal and intratracheal exposure (106 TCID50 total dose)."	(2020) indicated that SARS-CoV-2 results in a severity of infection that is intermediate between that of SARS-CoV and MERS-CoV based on a direct comparison of the three viruses in a combined intratracheal and intranasal dosing study of female adult cynomolgus macaques with a dose of 10 6 TCID 50 for all viruses	732c31132a3d0355f17cc90b736a0a012e31f1b3	None	2020-04-30	"Kitajima, Masaaki; Ahmed, Warish; Bibby, Kyle; Carducci, Annalaura; Gerba, Charles P.; Hamilton, Kerry A.; Haramoto, Eiji; Rose, Joan B."	Sci Total Environ	SARS-CoV-2 in wastewater: State of the knowledge and research needs	;Michigan State University	0.314268365
1. Infectious Dose – How much agent will make a healthy individual ill?	-2	"A total dose of approximately 700,000 plaque-forming units (PFU) of the novel coronavirus SARS-CoV-2 infected cynomolgus macaques via combination intranasal and intratracheal exposure (106 TCID50 total dose)."	"After 232 anesthetizing the animals, three male rhesus macaques were inoculated with 4 × 10 6 PFU 233 SARS-CoV-2, administered at a dose of 5 mL through intratracheal (4 mL) and intranasal (1 234 mL) instillation"	55a1740313bfbe198d6179cf507042e97092e2ba	None	2020-07-07	"Gu, Se Hun; Yu, Chi Ho; Song, Youngjo; Kim, Na Young; Sim, Euni; Choi, Jun Young; Song, Dong Hyun; Hur, Gyeung Haeng; Shin, Young Kee; Jeong, Seong Tae"	bioRxiv	A Small interfering RNA lead targeting RNA-dependent RNA-polymerase effectively inhibit the SARS-CoV-2 infection in Golden Syrian hamster and Rhesus macaque	;Agency for Defense Development	0.31857495
1. Infectious Dose – How much agent will make a healthy individual ill?	0	"A total dose of approximately 700,000 plaque-forming units (PFU) of the novel coronavirus SARS-CoV-2 infected cynomolgus macaques via combination intranasal and intratracheal exposure (106 TCID50 total dose)."	RMs were infected with 1.1x10 6 plaque forming units (PFU) SARS-CoV-2 via both the intranasal (1 mL) and intratracheal (1 mL) routes concurrently	7274328450740a5839e4e9ff18d6d851fc1b519c	None	2020-11-10	"Hoang, Timothy N.; Pino, Maria; Boddapati, Arun K.; Viox, Elise G.; Starke, Carly E.; Upadhyay, Amit A.; Gumber, Sanjeev; Nekorchuk, Michael; Busman-Sahay, Kathleen; Strongin, Zachary; Harper, Justin L.; Tharp, Gregory K.; Pellegrini, Kathryn L.; Kirejczyk, Shannon; Zandi, Keivan; Tao, Sijia; Horton, Tristan R.; Beagle, Elizabeth N.; Mahar, Ernestine A.; Lee, Michelle YH.; Cohen, Joyce; Jean, Sherrie M.; Wood, Jennifer S.; Connor-Stroud, Fawn; Stammen, Rachelle L.; Delmas, Olivia M.; Wang, Shelly; Cooney, Kimberly A.; Sayegh, Michael N.; Wang, Lanfang; Filev, Peter D.; Weiskopf, Daniela; Silvestri, Guido; Waggoner, Jesse; Piantadosi, Anne; Kasturi, Sudhir P.; Al-Shakhshir, Hilmi; Ribeiro, Susan P.; Sekaly, Rafick P.; Levit, Rebecca D.; Estes, Jacob D.; Vanderford, Thomas H.; Schinazi, Raymond F.; Bosinger, Steven E.; Paiardini, Mirko"	Cell	Baricitinib treatment resolves lower airway macrophage inflammation and neutrophil recruitment in SARS-CoV-2-infected rhesus macaques		0.335186664
1. Infectious Dose – How much agent will make a healthy individual ill?	1	"Rhesus and cynomolgus macaques showed mild to moderate clinical infections at doses of 4.75x106 PFU (delivered through several routes), while marmosets developed mild infections when exposed to 1x106 PFU intranasally."	"Infected Rhesus Macaques developed mild-to-moderate respiratory disease [142] [143] [144] representative of milder MERS cases, whereas infected Marmosets developed moderate-to-severe disease as observed in severe patients"	3f95367e392325cb3e2176ed049c64ccfe225d18	None	2020-08-20	"Johansen, M. D.; Irving, A.; Montagutelli, X.; Tate, M. D.; Rudloff, I.; Nold, M. F.; Hansbro, N. G.; Kim, R. Y.; Donovan, C.; Liu, G.; Faiz, A.; Short, K. R.; Lyons, J. G.; McCaughan, G. W.; Gorrell, M. D.; Cole, A.; Moreno, C.; Couteur, D.; Hesselson, D.; Triccas, J.; Neely, G. G.; Gamble, J. R.; Simpson, S. J.; Saunders, B. M.; Oliver, B. G.; Britton, W. J.; Wark, P. A.; Nold-Petry, C. A.; Hansbro, P. M."	Mucosal Immunol	Animal and translational models of SARS-CoV-2 infection and COVID-19		0.234404712
1. Infectious Dose – How much agent will make a healthy individual ill?	-2	"Rhesus and cynomolgus macaques showed mild to moderate clinical infections at doses of 4.75x106 PFU (delivered through several routes), while marmosets developed mild infections when exposed to 1x106 PFU intranasally."	"1 and 2), we rechallenged all 9 rhesus macaques with the same doses of SARS-CoV-2 that were utilized for the primary infection, namely 1.1 × 10 6 PFU (Group 1; N = 3), 1.1 × 10 5 PFU (Group 2; N = 3), or 1.1 × 10 4 PFU (Group 3; N = 3)"	8cc1f70e6072a0b3da37792dd66a441c7faaeb45	None	2020-05-20	"Chandrashekar, Abishek; Liu, Jinyan; Martinot, Amanda J.; McMahan, Katherine; Mercado, Noe B.; Peter, Lauren; Tostanoski, Lisa H.; Yu, Jingyou; Maliga, Zoltan; Nekorchuk, Michael; Busman-Sahay, Kathleen; Terry, Margaret; Wrijil, Linda M.; Ducat, Sarah; Martinez, David R.; Atyeo, Caroline; Fischinger, Stephanie; Burke, John S.; Slein, Matthew D.; Pessaint, Laurent; Van Ry, Alex; Greenhouse, Jack; Taylor, Tammy; Blade, Kelvin; Cook, Anthony; Finneyfrock, Brad; Brown, Renita; Teow, Elyse; Velasco, Jason; Zahn, Roland; Wegmann, Frank; Abbink, Peter; Bondzie, Esther A.; Dagotto, Gabriel; Gebre, Makda S.; He, Xuan; Jacob-Dolan, Catherine; Kordana, Nicole; Li, Zhenfeng; Lifton, Michelle A.; Mahrokhian, Shant H.; Maxfield, Lori F.; Nityanandam, Ramya; Nkolola, Joseph P.; Schmidt, Aaron G.; Miller, Andrew D.; Baric, Ralph S.; Alter, Galit; Sorger, Peter K.; Estes, Jacob D.; Andersen, Hanne; Lewis, Mark G.; Barouch, Dan H."	Science	SARS-CoV-2 infection protects against rechallenge in rhesus macaques	;Harvard Medical School	0.23608676
1. Infectious Dose – How much agent will make a healthy individual ill?	0	"Rhesus and cynomolgus macaques showed mild to moderate clinical infections at doses of 4.75x106 PFU (delivered through several routes), while marmosets developed mild infections when exposed to 1x106 PFU intranasally."	"However, comparing the susceptibility of rhesus macaques to cynomolgus macaques and common marmosets, the former showed higher susceptibility to SARS-CoV-2 infection"	fdb9c7002286c53b7624efb0187fd4cc90581bd2	None	2020-11-18	"Younes, Salma; Younes, Nadin; Shurrab, Farah; Nasrallah, Gheyath K."	Rev Med Virol	Severe acute respiratory syndrome coronavirus‐2 natural animal reservoirs and experimental models: systematic review	;Qatar University	0.259650627
1. Infectious Dose – How much agent will make a healthy individual ill?	-2	"Rhesus and cynomolgus macaques showed mild to moderate clinical infections at doses of 4.75x106 PFU (delivered through several routes), while marmosets developed mild infections when exposed to 1x106 PFU intranasally."	"225 Five rhesus macaques were intramuscularly injected first with a dose of 5×10 9 226 PFU Sad23L-nCoV-S vaccine, then with a boost injection of 5×10 9 PFU 227 Ad49L-nCoV-S vaccine 4 weeks later, while three sham rhesus macaques controls 228 were injected with equal doses of Sad23L-GFP and Ad49L-GFP viruses, respectively 229 ( Fig"	d9da113df1ac759568388f0d46fc21850b98ac2d	None	2020-09-29	"Luo, Shengxue; Zhang, Panli; Liu, Bochao; Yang, Chan; Liang, Chaolan; Wang, Qi; Zhang, Ling; Tang, Xi; Li, Jinfeng; Hou, Shuiping; Zeng, Jinfeng; Fu, Yongshui; Allain, Jean-Pierre; Li, Tingting; Zhang, Yuming; Li, Chengyao"	bioRxiv	Prime-boost vaccination of mice and Rhesus macaques with two novel adenovirus vectored COVID-19 vaccine candidates	;Southern Medical University	0.26137141
1. Infectious Dose – How much agent will make a healthy individual ill?	0	"Rhesus and cynomolgus macaques showed mild to moderate clinical infections at doses of 4.75x106 PFU (delivered through several routes), while marmosets developed mild infections when exposed to 1x106 PFU intranasally."	"After 232 anesthetizing the animals, three male rhesus macaques were inoculated with 4 × 10 6 PFU 233 SARS-CoV-2, administered at a dose of 5 mL through intratracheal (4 mL) and intranasal (1 234 mL) instillation"	55a1740313bfbe198d6179cf507042e97092e2ba	None	2020-07-07	"Gu, Se Hun; Yu, Chi Ho; Song, Youngjo; Kim, Na Young; Sim, Euni; Choi, Jun Young; Song, Dong Hyun; Hur, Gyeung Haeng; Shin, Young Kee; Jeong, Seong Tae"	bioRxiv	A Small interfering RNA lead targeting RNA-dependent RNA-polymerase effectively inhibit the SARS-CoV-2 infection in Golden Syrian hamster and Rhesus macaque	;Agency for Defense Development	0.2689017
1. Infectious Dose – How much agent will make a healthy individual ill?	-2	"Rhesus macaques are effectively infected with SARS-CoV-2 via the ocular conjunctival and intratracheal route at a dose of ~700,000 PFU (106 TCID50)."	"1 and 2), we rechallenged all 9 rhesus macaques with the same doses of SARS-CoV-2 that were utilized for the primary infection, namely 1.1 × 10 6 PFU (Group 1; N = 3), 1.1 × 10 5 PFU (Group 2; N = 3), or 1.1 × 10 4 PFU (Group 3; N = 3)"	8cc1f70e6072a0b3da37792dd66a441c7faaeb45	"7dd4ed1de7d608c7c84d3ca6d95f9caf3d9a39aa,"	2020-05-20	"Chandrashekar, Abishek; Liu, Jinyan; Martinot, Amanda J.; McMahan, Katherine; Mercado, Noe B.; Peter, Lauren; Tostanoski, Lisa H.; Yu, Jingyou; Maliga, Zoltan; Nekorchuk, Michael; Busman-Sahay, Kathleen; Terry, Margaret; Wrijil, Linda M.; Ducat, Sarah; Martinez, David R.; Atyeo, Caroline; Fischinger, Stephanie; Burke, John S.; Slein, Matthew D.; Pessaint, Laurent; Van Ry, Alex; Greenhouse, Jack; Taylor, Tammy; Blade, Kelvin; Cook, Anthony; Finneyfrock, Brad; Brown, Renita; Teow, Elyse; Velasco, Jason; Zahn, Roland; Wegmann, Frank; Abbink, Peter; Bondzie, Esther A.; Dagotto, Gabriel; Gebre, Makda S.; He, Xuan; Jacob-Dolan, Catherine; Kordana, Nicole; Li, Zhenfeng; Lifton, Michelle A.; Mahrokhian, Shant H.; Maxfield, Lori F.; Nityanandam, Ramya; Nkolola, Joseph P.; Schmidt, Aaron G.; Miller, Andrew D.; Baric, Ralph S.; Alter, Galit; Sorger, Peter K.; Estes, Jacob D.; Andersen, Hanne; Lewis, Mark G.; Barouch, Dan H."	Science	SARS-CoV-2 infection protects against rechallenge in rhesus macaques	;Harvard Medical School	0.131706901
1. Infectious Dose – How much agent will make a healthy individual ill?	-2	"Rhesus macaques are effectively infected with SARS-CoV-2 via the ocular conjunctival and intratracheal route at a dose of ~700,000 PFU (106 TCID50)."	"Previously infected rhesus macaques challenged intratracheally with SARS-CoV-2 at 10 6 TCID 50 did not display reinfection characteristics when challenged again with the same dose, indicating some immunity conferred from an initial infection (Bao et al., 2020a) "	732c31132a3d0355f17cc90b736a0a012e31f1b3	"7dd4ed1de7d608c7c84d3ca6d95f9caf3d9a39aa,"	2020-04-30	"Kitajima, Masaaki; Ahmed, Warish; Bibby, Kyle; Carducci, Annalaura; Gerba, Charles P.; Hamilton, Kerry A.; Haramoto, Eiji; Rose, Joan B."	Sci Total Environ	SARS-CoV-2 in wastewater: State of the knowledge and research needs	;Michigan State University	0.132995823
1. Infectious Dose – How much agent will make a healthy individual ill?	-2	"Rhesus macaques are effectively infected with SARS-CoV-2 via the ocular conjunctival and intratracheal route at a dose of ~700,000 PFU (106 TCID50)."	Research on Rhesus macaques infected with SARS-CoV-2 was promising though showing that reinfection did not occur following rechallenge with the same dose of SARS-CoV-2 strain 71 	f7cd33f182af02e02408bf4af35b5aad2eddf645	"7dd4ed1de7d608c7c84d3ca6d95f9caf3d9a39aa,"	2020-04-25	"Kontou, Panagiota I; Braliou, Georgia G; Dimou, Niki L; Nikolopoulos, Georgios; Bagos, Pantelis G"		Antibody tests in detecting SARS-CoV-2 infection: a meta-analysis	;University of Thessaly	0.135120095
1. Infectious Dose – How much agent will make a healthy individual ill?	0	"Rhesus macaques are effectively infected with SARS-CoV-2 via the ocular conjunctival and intratracheal route at a dose of ~700,000 PFU (106 TCID50)."	Rhesus macaques can be effectively infected with SARS-CoV-2 via ocular conjunctival route 	361c81d0ef9cde7b19c7d5a85c37f0c11ad2534a	"7dd4ed1de7d608c7c84d3ca6d95f9caf3d9a39aa,"	2020-05-22	"Guo, Gangqiang; Ye, Lele; Pan, Kan; Chen, Yu; Xing, Dong; Yan, Kejing; Chen, Zhiyuan; Ding, Ning; Li, Wenshu; Huang, Hong; Zhang, Lifang; Li, Xiaokun; Xue, Xiangyang"	Front Cell Dev Biol	"New Insights of Emerging SARS-CoV-2: Epidemiology, Etiology, Clinical Features, Clinical Treatment, and Prevention"	;Wenzhou Medical University	0.139402501
1. Infectious Dose – How much agent will make a healthy individual ill?	-2	"Rhesus macaques are effectively infected with SARS-CoV-2 via the ocular conjunctival and intratracheal route at a dose of ~700,000 PFU (106 TCID50)."	Research on Rhesus macaques infected with SARS-CoV-2 was promising though showing that reinfection did not occur following rechallenge with the same dose of SARS-CoV-2 strain [72] 	65aa04e87ad3d1509a37a38c56343157e475140c	"7dd4ed1de7d608c7c84d3ca6d95f9caf3d9a39aa,"	2020-05-19	"Kontou, Panagiota I.; Braliou, Georgia G.; Dimou, Niki L.; Nikolopoulos, Georgios; Bagos, Pantelis G."	Diagnostics (Basel)	Antibody Tests in Detecting SARS-CoV-2 Infection: A Meta-Analysis	;University of Thessaly	0.141998816
1. Infectious Dose – How much agent will make a healthy individual ill?	0	"Rhesus macaques infected with 2,600,000 TCID50 of SARS-CoV-2 by the intranasal, intratracheal, oral and ocular routes combined recapitulate moderate human disease."	"7, 21 In both studies, rhesus 259 macaques were infected with 2.6x10 6 TCID50 of SARS-CoV-2 strain"	3f1dc682ffea7e4901671716b4f71a3dc2f5408c	","	2020-06-22	"Goyal, Ashish; Duke, Elizabeth R.; Cardozo-Ojeda, E. Fabian; Schiffer, Joshua T."	bioRxiv	Mathematical modeling explains differential SARS CoV-2 kinetics in lung and nasal passages in remdesivir treated rhesus macaques	;Fred Hutchinson Cancer Research Center	0.136462998
1. Infectious Dose – How much agent will make a healthy individual ill?	-2	"Rhesus macaques infected with 2,600,000 TCID50 of SARS-CoV-2 by the intranasal, intratracheal, oral and ocular routes combined recapitulate moderate human disease."	"Previously infected rhesus macaques challenged intratracheally with SARS-CoV-2 at 10 6 TCID 50 did not display reinfection characteristics when challenged again with the same dose, indicating some immunity conferred from an initial infection (Bao et al., 2020a) "	732c31132a3d0355f17cc90b736a0a012e31f1b3	","	2020-04-30	"Kitajima, Masaaki; Ahmed, Warish; Bibby, Kyle; Carducci, Annalaura; Gerba, Charles P.; Hamilton, Kerry A.; Haramoto, Eiji; Rose, Joan B."	Sci Total Environ	SARS-CoV-2 in wastewater: State of the knowledge and research needs	;Michigan State University	0.143314777
1. Infectious Dose – How much agent will make a healthy individual ill?	-2	"Rhesus macaques infected with 2,600,000 TCID50 of SARS-CoV-2 by the intranasal, intratracheal, oral and ocular routes combined recapitulate moderate human disease."	"142, 143 Rhesus macaques infected by SARS-CoV-2 also exhibited humoral and cellular immune responses and were protected from rechallenge"	1365fb344fa059bc5c4b9428eadbc38282c7b085	","	2020-10-13	"Dong, Yetian; Dai, Tong; Wei, Yujun; Zhang, Long; Zheng, Min; Zhou, Fangfang"	Signal Transduct Target Ther	A systematic review of SARS-CoV-2 vaccine candidates		0.143677761
1. Infectious Dose – How much agent will make a healthy individual ill?	1	"Rhesus macaques infected with 2,600,000 TCID50 of SARS-CoV-2 by the intranasal, intratracheal, oral and ocular routes combined recapitulate moderate human disease."	Rhesus macaques can be infected with SARS-CoV-2 through direct conjunctival inoculation but develop less severe pulmonary disease than macaques inoculated through an intratracheal route (66) 	7b9e0b3dddceee2dc9c8d147651be4222003a357	","	2020-09-17	"Meyerowitz, Eric A.; Richterman, Aaron; Gandhi, Rajesh T.; Sax, Paul E."	Ann Intern Med	"Transmission of SARS-CoV-2: A Review of Viral, Host, and Environmental Factors"		0.144090926
1. Infectious Dose – How much agent will make a healthy individual ill?	-2	"Rhesus macaques infected with 2,600,000 TCID50 of SARS-CoV-2 by the intranasal, intratracheal, oral and ocular routes combined recapitulate moderate human disease."	Research on Rhesus macaques infected with SARS-CoV-2 was promising though showing that reinfection did not occur following rechallenge with the same dose of SARS-CoV-2 strain 71 	f7cd33f182af02e02408bf4af35b5aad2eddf645	","	2020-04-25	"Kontou, Panagiota I; Braliou, Georgia G; Dimou, Niki L; Nikolopoulos, Georgios; Bagos, Pantelis G"		Antibody tests in detecting SARS-CoV-2 infection: a meta-analysis	;University of Thessaly	0.144220564
1. Infectious Dose – How much agent will make a healthy individual ill?	-2	"A small study infected Rhesus macaques via ocular inoculation (1x106 TCID50), resulting in mild infection; however, gastric inoculation did not result in infection (same dose), suggesting a limited role of gastric transmission.Interpretation is limited due to the small scale."	Rhesus macaques are experimentally susceptible to poliovirus infection and develop encephalomyelitis if inoculated with poliovirus parenterally (usually intracranially)	0fb4762e39021ade84956f390e5c081fe7cb4f31	"7619243415c5dcb7cc8f7667115755c4bb0d46c5; 516c32122ba74a64811ac0e1d5f2b6f0833e1b94; e27c44369df6b5e8be2af37df9ab07dacaae71e9,"	2020-08-31	"Kanduc, Darja; Shoenfeld, Yehuda"	Glob Med Genet	"Medical, Genomic, and Evolutionary Aspects of the Peptide Sharing between Pathogens, Primates, and Humans"	;Tel-Aviv University	0.191680323
