sentence,paperID,date,journal,affiliation,question,
Rhesus macaques have been suggested as the best non-human primate model of human COVID-19.,057185bf9ec110e1c057b5d815f9c2aa1469bc43,8/19/20,Signal Transduct Target Ther,,1. Infectious Dose – How much agent will make a healthy individual ill?,
"Infectious SARS-CoV-2 has been isolated from rhesus macaque feces, suggesting possible fecal-oral transmission.",8143ff20dc38175c16898ca867a31056a715d8ba,11/12/20,PLoS Pathog,,1. Infectious Dose – How much agent will make a healthy individual ill?,
The SARS-CoV-2 median infectious dose in Golden Syrian hamsters via the intranasal route was experimentally estimated at 5 TCID50 (~3.5 PFU).,ac2cc8d4b33fccb6a904a9fbad5a819f79728350,9/27/20,bioRxiv,,1. Infectious Dose – How much agent will make a healthy individual ill?,
The SARS-CoV-2 median infectious dose in Golden Syrian hamsters via the intranasal route was experimentally estimated at 5 TCID50 (~3.5 PFU).,f2077711cb79ed47b673151c88f47c89f39d94db,9/27/20,bioRxiv,,1. Infectious Dose – How much agent will make a healthy individual ill?,
"Low-dose intranasal inoculation of ferrets (2,000 PFU) and Golden Syrian hamsters (1,800 PFU) with SARS-CoV-2 resulted in mild clinical symptoms, the production of infectious virus, and seroconversion.",6033c4754d0918ddd55c312e9e5cdc1aad13b758,9/24/20,bioRxiv,,1. Infectious Dose – How much agent will make a healthy individual ill?,
"Golden Syrian hamsters infected with 100,000 PFU intranasally exhibited mild clinical symptoms and developed neutralizing antibodies, and were also capable of infecting individuals in separate cages.",6ac544ebb283cb03324dc7c36535b77a202bb921,3/26/20,Clin Infect Dis,,1. Infectious Dose – How much agent will make a healthy individual ill?,
Transgenic (hACE2) mice became infected after timed aerosol exposure (36 TCID50/minute) to between 900 and 1080 TCID50 (~630-756 PFU).,6ac544ebb283cb03324dc7c36535b77a202bb921,3/26/20,Clin Infect Dis,,1. Infectious Dose – How much agent will make a healthy individual ill?,
"All mice (4/4) exposed for 25-30 minutes became infected, while no mice (0/8) became infected after exposure for 0-20 minutes (up to 720 TCID50, ~504 PFU).",6ac544ebb283cb03324dc7c36535b77a202bb921,3/26/20,Clin Infect Dis,,1. Infectious Dose – How much agent will make a healthy individual ill?,
"Ferrets infected with 316,000 TCID50339 or 600,000 TCID50572 of SARS-CoV-2 by the intranasal route show similar symptoms to human disease.",b63cf0fde50b92b20a7b7d834884f2aaa23c61f1,4/6/20,Cell Host Microbe,,1. Infectious Dose – How much agent will make a healthy individual ill?,
"Ferrets infected with 316,000 TCID50339 or 600,000 TCID50572 of SARS-CoV-2 by the intranasal route show similar symptoms to human disease.",c7c745598a4d37174b3aaa575abf40c964411aa0,4/6/20,Cell Host Microbe,,1. Infectious Dose – How much agent will make a healthy individual ill?,
"Ferrets infected with 316,000 TCID50339 or 600,000 TCID50572 of SARS-CoV-2 by the intranasal route show similar symptoms to human disease.",b63cf0fde50b92b20a7b7d834884f2aaa23c61f1,4/6/20,Cell Host Microbe,,1. Infectious Dose – How much agent will make a healthy individual ill?,
"Ferrets infected with 316,000 TCID50339 or 600,000 TCID50572 of SARS-CoV-2 by the intranasal route show similar symptoms to human disease.",c7c745598a4d37174b3aaa575abf40c964411aa0,4/6/20,Cell Host Microbe,,1. Infectious Dose – How much agent will make a healthy individual ill?,
Uninfected ferrets in direct contact with infected ferrets test positive and show disease as early as 2 days post-contact.,b63cf0fde50b92b20a7b7d834884f2aaa23c61f1,4/6/20,Cell Host Microbe,,1. Infectious Dose – How much agent will make a healthy individual ill?,
Uninfected ferrets in direct contact with infected ferrets test positive and show disease as early as 2 days post-contact.,c7c745598a4d37174b3aaa575abf40c964411aa0,4/6/20,Cell Host Microbe,,1. Infectious Dose – How much agent will make a healthy individual ill?,
"In a separate ferret study, 1 in 6 individuals exposed to 102 PFU via the intranasal route became infected, while 12 out of 12 individuals exposed to >104 PFU became infected.",50c3cb38513abfe5a5ba5aa3208c2ab44a673579,5/29/20,bioRxiv,,1. Infectious Dose – How much agent will make a healthy individual ill?,
The infectious dose of a pathogen can be estimated by the amount of genetic material passed between an infector and infectee (called “bottleneck” size.,50c3cb38513abfe5a5ba5aa3208c2ab44a673579,5/29/20,bioRxiv,,1. Infectious Dose – How much agent will make a healthy individual ill?,
"Genetically modified mice exposed intranasally to Middle East respiratory syndrome coronavirus (MERS-CoV) between 100-500,000 PFU show signs of infection.",17b0dbb54e34ee64d85d62d4a378176bb0247d0c,10/20/15,Journal of Infectious Diseases,,1. Infectious Dose – How much agent will make a healthy individual ill?,
"Genetically modified mice exposed intranasally to Middle East respiratory syndrome coronavirus (MERS-CoV) between 100-500,000 PFU show signs of infection.",db30c72b055266cbd06bb14d7f570f91d8e84e6e,12/23/15,PLoS One,,1. Infectious Dose – How much agent will make a healthy individual ill?,
Infection with higher doses result in severe syndromes.,db30c72b055266cbd06bb14d7f570f91d8e84e6e,12/23/15,PLoS One,,1. Infectious Dose – How much agent will make a healthy individual ill?,
Infection with higher doses result in severe syndromes.,db30c72b055266cbd06bb14d7f570f91d8e84e6e,12/23/15,PLoS One,,1. Infectious Dose – How much agent will make a healthy individual ill?,
Infection with higher doses result in severe syndromes.,17b0dbb54e34ee64d85d62d4a378176bb0247d0c,10/20/15,Journal of Infectious Diseases,,1. Infectious Dose – How much agent will make a healthy individual ill?,
Infection with higher doses result in severe syndromes.,db30c72b055266cbd06bb14d7f570f91d8e84e6e,12/23/15,PLoS One,,1. Infectious Dose – How much agent will make a healthy individual ill?,
SARS-CoV-2 is passed easily between humans through close contact and aerosol transmission.,dc3717164035118202545e92237895cb7f74f18c,3/19/20,Eur Respir J,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
SARS-CoV-2 is passed easily between humans through close contact and aerosol transmission.,71306998f14bfb6e380c1603953f70213dd0da8a,7/6/20,Clin Infect Dis,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"In the US, there have been 17,862,876 confirmed COVID-19 cases and 317,858 confirmed deaths, though both cases and fatalities are underestimates.",d63f48228c2aa86689ba3749698c32f9e8b5f82c,9/25/20,Lancet,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Estimates of human transmissibility (R0) range from 2.2 to 3.1.,d63f48228c2aa86689ba3749698c32f9e8b5f82c,9/25/20,Lancet,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Estimates of human transmissibility (R0) range from 2.2 to 3.1.,d63f48228c2aa86689ba3749698c32f9e8b5f82c,9/25/20,Lancet,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Estimates of human transmissibility (R0) range from 2.2 to 3.1.,2765b43f0c431c63acf11a93ddb513f0332ca22b,1/30/20,Euro Surveill,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Estimates of human transmissibility (R0) range from 2.2 to 3.1.,a99b24730ab1768a968a582caa998ab84b96f007,3/6/20,The Lancet,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Estimates of human transmissibility (R0) range from 2.2 to 3.1.,bf20dda99538a594eafc258553634fd9195104cb,2/1/20,J Clin Med,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
The risk of airborne infection from fomites is believed to be low.,7316c955dabb94a6fe871b25f58e2946b1329664,11/1/20,medRxiv,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
The risk of airborne infection from fomites is believed to be low.,e830ee7f6c775edc8dfffb992d8b9dcf66409c8e,11/1/20,medRxiv,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
The risk of airborne infection from fomites is believed to be low.,2f2721d746a95741303e1f090468edde57f2e48a,11/1/20,medRxiv,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Exhaled breath may emit 105-107 genome copies per person per hour; the amount of infectious virus remains unknown.,5b237d20635277d65fe97ff58c860450e8e060c0,8/28/20,Clin Infect Dis,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Vertical transmission from mother to fetus is possible but rare.,7bd8e0b880fc088c656895c3fc4efe421a57b5b6,8/17/20,EBioMedicine,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Vertical transmission from mother to fetus is possible but rare.,f19fcdc248a09cc36c6f9c22114024d495bc92c6,8/17/20,EBioMedicine,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Vertical transmission from mother to fetus is possible but rare.,88931cccbf7d911c0e497d5ef6d935eadabb17a7,7/14/20,Nat Commun,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Asymptomatic or pre-symptomatic individuals can transmit SARS-CoV-2 and contribute significantly to new case growth.,dc8f41d4b7c384513a2245e4bc3e6e28c74b44e8,3/16/20,Science,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Asymptomatic or pre-symptomatic individuals can transmit SARS-CoV-2 and contribute significantly to new case growth.,b916bf6b86de1071c7e5c4573dc5260f036d0ac6,3/16/20,Science,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Individuals may be infectious for 1-3 days prior to symptom onset.,648f6daa459a53c500f563d931870f602c03ff38,4/24/20,N Engl J Med,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Individuals may be infectious for 1-3 days prior to symptom onset.,e10a00df9101c78210ce70041a806ec18929c08c,4/24/20,N Engl J Med,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Individuals may be infectious for 1-3 days prior to symptom onset.,648f6daa459a53c500f563d931870f602c03ff38,4/24/20,N Engl J Med,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Individuals may be infectious for 1-3 days prior to symptom onset.,e10a00df9101c78210ce70041a806ec18929c08c,4/24/20,N Engl J Med,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Pre-symptomatic or asymptomatic patients can transmit SARS-CoV-2.,c998e0a2497c0f83f825235a05098c24c0a0fdb9,8/4/20,Emerg Infect Dis,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Pre-symptomatic or asymptomatic patients can transmit SARS-CoV-2.,0f24818c6adcadeb15290cf2ca3ed4f499560b9d,5/15/20,Lancet Infect Dis,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Pre-symptomatic or asymptomatic patients can transmit SARS-CoV-2.,3c2384b150fe4afd52b805e49f934e711ad590e1,4/6/20,N Engl J Med,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Pre-symptomatic or asymptomatic patients can transmit SARS-CoV-2.,7a93c69e9b3239c47fd4e84d6ddf1006173d60bd,10/4/20,Emerg Infect Dis,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Pre-symptomatic or asymptomatic patients can transmit SARS-CoV-2.,00a4b80a7e0f35c3f8ba74f5a9eeea73b77bdc3b,6/18/20,Clin Infect Dis,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Pre-symptomatic or asymptomatic patients can transmit SARS-CoV-2.,46b654b00517073293a92604dc5fd5ae21f6ca6c,5/4/20,Emerg Infect Dis,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Between 15-56% of infections may be caused by pre- symptomatic transmission.,4c6d07b2e6870aedf4a320b5edfc7b497a9da311,3/18/20,,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Between 15-56% of infections may be caused by pre- symptomatic transmission.,4c6d07b2e6870aedf4a320b5edfc7b497a9da311,3/18/20,,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
There is evidence that asymptomatic individuals transmit SARS-CoV-2 less often than symptomatic individuals.,0d5137fdf89ee8d8ea82288b52ae7de6759281ec,11/4/20,,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
There is evidence that asymptomatic individuals transmit SARS-CoV-2 less often than symptomatic individuals.,1a5518c914fc2c08556e19280bbad16c82297ce0,9/22/20,PLoS Med,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
There is evidence that asymptomatic individuals transmit SARS-CoV-2 less often than symptomatic individuals.,f34c8e20ec0a86e8e1959481eb42903c223a4121,8/18/20,Front Med (Lausanne),,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Infection risk is particularly high indoors.,344fc512cb2498146af06f2906fdfa8e5a1fdc58,9/1/20,,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
SARS-CoV-2 may be spread by conversation and exhalation in indoor areas such as restaurants.,cb68c8658bb181bb7e84f6a34145b3a95c22361a,4/22/20,,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
SARS-CoV-2 may be spread by conversation and exhalation in indoor areas such as restaurants.,99055ff81eafaeac663d1672eb25566cbc3d52c6,3/26/20,,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
SARS-CoV-2 may be spread by conversation and exhalation in indoor areas such as restaurants.,a0a80e5ace4b5fa116759dc0f5d0fda4b4a8dd54,6/2/20,Proc Natl Acad Sci U S A,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Positive SARS- CoV-2 patients were twice as likely as negative patients to report that they had recently eaten in restaurants or worked in an office.,79463ea722b89aaf004b0db91f8337a32b4d6e8d,11/6/20,MMWR Morb Mortal Wkly Rep,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Positive SARS- CoV-2 patients were twice as likely as negative patients to report that they had recently eaten in restaurants or worked in an office.,cbcc11b03967beef0390f0b17b79013447970aec,9/11/20,MMWR Morb Mortal Wkly Rep,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"Clusters are often associated with large indoor gatherings, including bars, restaurants, and gyms.",402f6148ed3fc6dbfdaddd3c9fcb12499b1d6a7b,8/4/20,Emerg Infect Dis,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"Clusters are often associated with large indoor gatherings, including bars, restaurants, and gyms.",3bd215e9b7883da2c3354d0ff4ea14a3a93ed295,9/4/20,Emerg Infect Dis,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"On average, 16.6% to 18% of household contacts of infected index patients acquire SARS-CoV-2 (i.e., the “attack rate”).",32cdbb676efd6a6a95f18b3e3284f9ecee2f1d1a,12/14/20,JAMA Netw Open,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"On average, 16.6% to 18% of household contacts of infected index patients acquire SARS-CoV-2 (i.e., the “attack rate”).",3ca08fbec5fb8581afd892709b1d0c62f96694b1,10/8/20,PLoS One,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"On average, 16.6% to 18% of household contacts of infected index patients acquire SARS-CoV-2 (i.e., the “attack rate”).",a4daa150707572156a31498d3fefe4e2e94f6fbc,10/8/20,PLoS One,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"Attack rates are higher for symptomatic index cases, spouses of index cases, and adults, though transmission to children may be underestimated.",3ca08fbec5fb8581afd892709b1d0c62f96694b1,10/8/20,PLoS One,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"Attack rates are higher for symptomatic index cases, spouses of index cases, and adults, though transmission to children may be underestimated.",a4daa150707572156a31498d3fefe4e2e94f6fbc,10/8/20,PLoS One,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"Attack rates are higher for symptomatic index cases, spouses of index cases, and adults, though transmission to children may be underestimated.",32cdbb676efd6a6a95f18b3e3284f9ecee2f1d1a,12/14/20,JAMA Netw Open,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
75% of household infections occurred within 5 days of illness onset in the index case.,fb323f39d40262a1cb0d754c0a3b1fd3e197a929,11/6/20,MMWR Morb Mortal Wkly Rep,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"In a US study, 31 of 58 households (54%) with a primary SARS-CoV-2 case showed evidence of secondary transmission; in 7 of these 31 households (23%), all members of the household became infected.",8e9a945a84a5e20aa286c89f5a944b3fa32943fe,8/16/20,Clin Infect Dis,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"Index patients who transmitted SARS-CoV-2 to secondary contacts had higher viral titers than secondary contacts who did not subsequently transmit illness, as quantified by nasal swab RT-qPCR.",a6abdd8133bd01fdd79d377149dd8a410345f320,12/9/20,PLoS One,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Superspreading events (SSEs) appear common in SARS-CoV-2 transmission and may be crucial for controlling spread.,a6abdd8133bd01fdd79d377149dd8a410345f320,12/9/20,PLoS One,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Superspreading events (SSEs) appear common in SARS-CoV-2 transmission and may be crucial for controlling spread.,a6abdd8133bd01fdd79d377149dd8a410345f320,12/9/20,PLoS One,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Superspreading events (SSEs) appear common in SARS-CoV-2 transmission and may be crucial for controlling spread.,468be4242504af736b337974abe56809ae650835,9/8/20,Proc Natl Acad Sci U S A,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Superspreading events (SSEs) appear common in SARS-CoV-2 transmission and may be crucial for controlling spread.,1a4d6fa3ad6906a7f8f5d20895f46438f735d57b,7/17/20,,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Superspreading events (SSEs) appear common in SARS-CoV-2 transmission and may be crucial for controlling spread.,1a4d6fa3ad6906a7f8f5d20895f46438f735d57b,7/17/20,,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Most new infections come from a few infectious individuals (overdispersion parameter k = 0.2-0.5).,1a4d6fa3ad6906a7f8f5d20895f46438f735d57b,7/17/20,,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Most new infections come from a few infectious individuals (overdispersion parameter k = 0.2-0.5).,1a4d6fa3ad6906a7f8f5d20895f46438f735d57b,7/17/20,,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Most new infections come from a few infectious individuals (overdispersion parameter k = 0.2-0.5).,468be4242504af736b337974abe56809ae650835,9/8/20,Proc Natl Acad Sci U S A,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Most new infections come from a few infectious individuals (overdispersion parameter k = 0.2-0.5).,1a4d6fa3ad6906a7f8f5d20895f46438f735d57b,7/17/20,,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Most new infections come from a few infectious individuals (overdispersion parameter k = 0.2-0.5).,1a4d6fa3ad6906a7f8f5d20895f46438f735d57b,7/17/20,,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"Rates of transmission on public transit are unclear but appear low, but the US CDC recommends masks during travel.",1a4d6fa3ad6906a7f8f5d20895f46438f735d57b,7/17/20,,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"Rates of transmission on public transit are unclear but appear low, but the US CDC recommends masks during travel.",1a4d6fa3ad6906a7f8f5d20895f46438f735d57b,7/17/20,,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Several studies have identified plausible transmission on airplanes.,cf6f89aed21524abdd5a6bb42eecb6df67cc05e2,11/4/20,Emerg Infect Dis,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Several studies have identified plausible transmission on airplanes.,cf6f89aed21524abdd5a6bb42eecb6df67cc05e2,11/4/20,Emerg Infect Dis,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Several studies have identified plausible transmission on airplanes.,7b4cd12ed274e82570655fed7a0961eb32ed20c5,10/22/20,Euro Surveill,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"Fluorescent tracer research on commercial airplanes suggests a low risk of aerosol or surface transmission during flights, though key parameters remain uncertain.",7b4cd12ed274e82570655fed7a0961eb32ed20c5,10/22/20,Euro Surveill,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"On trains in China, transmission rates were high for those in the same row as an infectious individual (1.5-3.5% attack rate), though low for non-neighboring passengers.",19f60f635d4a713fdaa506f042e5ef24a0fbb4f7,7/29/20,Clin Infect Dis,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
Outbreaks have also occurred on public buses.,33c90803a457b5ea2c938aef86ee9f4506fb09fa,9/13/20,Open Forum Infect Dis,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"There is evidence of high transmission rates among same-aged children, as well as transmission in the home, at school, and in the community.",508dd47edee8bee8988a96afddfb0daa7e1764e7,11/27/20,J Pediatric Infect Dis Soc,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"There is evidence of high transmission rates among same-aged children, as well as transmission in the home, at school, and in the community.",1a4d6fa3ad6906a7f8f5d20895f46438f735d57b,7/17/20,,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"There is evidence of high transmission rates among same-aged children, as well as transmission in the home, at school, and in the community.",8e9a945a84a5e20aa286c89f5a944b3fa32943fe,8/16/20,Clin Infect Dis,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"There is evidence of high transmission rates among same-aged children, as well as transmission in the home, at school, and in the community.",44edc1826d509b395dbb974d16be48685965a90c,10/4/20,Emerg Infect Dis,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"There is evidence of high transmission rates among same-aged children, as well as transmission in the home, at school, and in the community.",44edc1826d509b395dbb974d16be48685965a90c,10/4/20,Emerg Infect Dis,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"Contact tracing in China, Iceland, and Israel has found lower rates of transmission to and from younger children (<10-15) compared to adults, but similar rates in older children.",411496a16b1d236507376e5e0d1438f10e184172,6/5/20,,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"Contact tracing in China, Iceland, and Israel has found lower rates of transmission to and from younger children (<10-15) compared to adults, but similar rates in older children.",411496a16b1d236507376e5e0d1438f10e184172,6/5/20,,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"Contact tracing in China, Iceland, and Israel has found lower rates of transmission to and from younger children (<10-15) compared to adults, but similar rates in older children.",5ec3a6d38cf3ecf0b59898945b3233f0a3715403,8/13/20,medRxiv : the preprint server for health sciences,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"After schools reopened in Italy, researchers found low attack rates in preschool (0%) and elementary school children (0.38%), but higher attack rates in middle and high school students (6.5%).",5b7a1c8dadb61693dd9525221d29d6903050aed3,12/10/20,Euro Surveill,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"Children are also less likely than adults to test positive for COVID-19 via RT-PCR despite being infected, underestimating pediatric COVID-19 infections.",28686d4fff369be9f00224d213decca01b4d5cd0,6/29/20,N Engl J Med,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"Children are also less likely than adults to test positive for COVID-19 via RT-PCR despite being infected, underestimating pediatric COVID-19 infections.",bd5fe8eef651b9c0399bf0c0da097295c2fa630a,6/29/20,N Engl J Med,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"Children are also less likely than adults to test positive for COVID-19 via RT-PCR despite being infected, underestimating pediatric COVID-19 infections.",72185b5959898765c6f4a27697aa997d448d6e3e,6/29/20,N Engl J Med,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"Children are also less likely than adults to test positive for COVID-19 via RT-PCR despite being infected, underestimating pediatric COVID-19 infections.",cb35098e926dbc65b18ede1c7331231d68f3b0a5,11/11/20,Nat Commun,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"Children are also less likely than adults to test positive for COVID-19 via RT-PCR despite being infected, underestimating pediatric COVID-19 infections.",411496a16b1d236507376e5e0d1438f10e184172,6/5/20,,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"Serological studies in Germany, Spain, and Italy found high rates of SARS-CoV-2 exposure in children, though the finding is not ubiquitous.",0d5137fdf89ee8d8ea82288b52ae7de6759281ec,11/4/20,,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
"Serological studies in Germany, Spain, and Italy found high rates of SARS-CoV-2 exposure in children, though the finding is not ubiquitous.",0d5137fdf89ee8d8ea82288b52ae7de6759281ec,11/4/20,,,2. Transmissibility – How does it spread from one host to another? How easily is it spread?,
