ground_truth	matched_claim
"A total dose of approximately 700,000 plaque-forming units (PFU) of the novel coronavirus SARS-CoV-2 infected cynomolgus macaques via combination intranasal and intratracheal exposure (106 TCID50 total dose)."	(2020) indicated that SARS-CoV-2 results in a severity of infection that is intermediate between that of SARS-CoV and MERS-CoV based on a direct comparison of the three viruses in a combined intratracheal and intranasal dosing study of female adult cynomolgus macaques with a dose of 10 6 TCID 50 for all viruses
"A total dose of approximately 700,000 plaque-forming units (PFU) of the novel coronavirus SARS-CoV-2 infected cynomolgus macaques via combination intranasal and intratracheal exposure (106 TCID50 total dose)."	"After 232 anesthetizing the animals, three male rhesus macaques were inoculated with 4 × 10 6 PFU 233 SARS-CoV-2, administered at a dose of 5 mL through intratracheal (4 mL) and intranasal (1 234 mL) instillation"
"A total dose of approximately 700,000 plaque-forming units (PFU) of the novel coronavirus SARS-CoV-2 infected cynomolgus macaques via combination intranasal and intratracheal exposure (106 TCID50 total dose)."	RMs were infected with 1.1x10 6 plaque forming units (PFU) SARS-CoV-2 via both the intranasal (1 mL) and intratracheal (1 mL) routes concurrently
"A total dose of approximately 700,000 plaque-forming units (PFU) of the novel coronavirus SARS-CoV-2 infected cynomolgus macaques via combination intranasal and intratracheal exposure (106 TCID50 total dose)."	RMs were infected with 1.1x10 6 plaque forming units (PFU) SARS-CoV-2 via both the intranasal (1 mL) and intratracheal (1 mL) routes concurrently
"A total dose of approximately 700,000 plaque-forming units (PFU) of the novel coronavirus SARS-CoV-2 infected cynomolgus macaques via combination intranasal and intratracheal exposure (106 TCID50 total dose)."	RMs were infected with 1.1x10 6 plaque forming units (PFU) SARS-CoV-2 via both the intranasal (1 mL) and intratracheal (1 mL) routes concurrently
"A total dose of approximately 700,000 plaque-forming units (PFU) of the novel coronavirus SARS-CoV-2 infected cynomolgus macaques via combination intranasal and intratracheal exposure (106 TCID50 total dose)."	"A single dose of rVSV-EBOV-GP (10 7 plaque forming units, PFU) fully protects (absence of viremia and disease) cynomolgus macaques vaccinated via intramuscular, intranasal, or oral routes when it is administered 28 days before challenge with a lethal dose of EBOV Kikwit, EBOV Mayinga or EBOV Makona [35, 36, 56, 57, 73] "
"A total dose of approximately 700,000 plaque-forming units (PFU) of the novel coronavirus SARS-CoV-2 infected cynomolgus macaques via combination intranasal and intratracheal exposure (106 TCID50 total dose)."	"The samples were incubated with 100 tissue culture infective dose 50 (TCID50) which equals 40 plaque forming units (PFU) of SARS-CoV2 virus for 1 hour in an incubator at 37°C, 5% CO 2 and then transfer on pre-seeded Vero-E6 cells in 96-well cell-culture plates"
"A total dose of approximately 700,000 plaque-forming units (PFU) of the novel coronavirus SARS-CoV-2 infected cynomolgus macaques via combination intranasal and intratracheal exposure (106 TCID50 total dose)."	"The samples were incubated with 100 tissue culture infective dose 50 (TCID50) which equals 40 plaque forming units (PFU) of SARS-CoV2 virus for 1 hour in an incubator at 37°C, 5% CO 2 and then transfer on pre-seeded Vero-E6 cells in 96-well cell-culture plates"
"Rhesus and cynomolgus macaques showed mild to moderate clinical infections at doses of 4.75x106 PFU (delivered through several routes), while marmosets developed mild infections when exposed to 1x106 PFU intranasally."	"Infected Rhesus Macaques developed mild-to-moderate respiratory disease [142] [143] [144] representative of milder MERS cases, whereas infected Marmosets developed moderate-to-severe disease as observed in severe patients"
"Rhesus and cynomolgus macaques showed mild to moderate clinical infections at doses of 4.75x106 PFU (delivered through several routes), while marmosets developed mild infections when exposed to 1x106 PFU intranasally."	"1 and 2), we rechallenged all 9 rhesus macaques with the same doses of SARS-CoV-2 that were utilized for the primary infection, namely 1.1 × 10 6 PFU (Group 1; N = 3), 1.1 × 10 5 PFU (Group 2; N = 3), or 1.1 × 10 4 PFU (Group 3; N = 3)"
"Rhesus and cynomolgus macaques showed mild to moderate clinical infections at doses of 4.75x106 PFU (delivered through several routes), while marmosets developed mild infections when exposed to 1x106 PFU intranasally."	"However, comparing the susceptibility of rhesus macaques to cynomolgus macaques and common marmosets, the former showed higher susceptibility to SARS-CoV-2 infection"
"Rhesus and cynomolgus macaques showed mild to moderate clinical infections at doses of 4.75x106 PFU (delivered through several routes), while marmosets developed mild infections when exposed to 1x106 PFU intranasally."	"225 Five rhesus macaques were intramuscularly injected first with a dose of 5×10 9 226 PFU Sad23L-nCoV-S vaccine, then with a boost injection of 5×10 9 PFU 227 Ad49L-nCoV-S vaccine 4 weeks later, while three sham rhesus macaques controls 228 were injected with equal doses of Sad23L-GFP and Ad49L-GFP viruses, respectively 229 ( Fig"
"Rhesus and cynomolgus macaques showed mild to moderate clinical infections at doses of 4.75x106 PFU (delivered through several routes), while marmosets developed mild infections when exposed to 1x106 PFU intranasally."	"After 232 anesthetizing the animals, three male rhesus macaques were inoculated with 4 × 10 6 PFU 233 SARS-CoV-2, administered at a dose of 5 mL through intratracheal (4 mL) and intranasal (1 234 mL) instillation"
"Rhesus and cynomolgus macaques showed mild to moderate clinical infections at doses of 4.75x106 PFU (delivered through several routes), while marmosets developed mild infections when exposed to 1x106 PFU intranasally."	"Although DPP4 expressions were similar between rhesus macaques and common marmosets, the disease severity was from mild to moderate and from moderate to severe, respectively [131, 132] "
"Rhesus and cynomolgus macaques showed mild to moderate clinical infections at doses of 4.75x106 PFU (delivered through several routes), while marmosets developed mild infections when exposed to 1x106 PFU intranasally."	"458 Five rhesus macaques aged 11 to 14 years (Table S1) were first injected 459 intramuscularly with a dose of 5×10 9 PFU Sad23L-nCoV-S vaccine, and then at 4 460 week interval received a second dose of 5×10 9 PFU Ad49L-nCoV-S vaccine"
"Rhesus and cynomolgus macaques showed mild to moderate clinical infections at doses of 4.75x106 PFU (delivered through several routes), while marmosets developed mild infections when exposed to 1x106 PFU intranasally."	"In this study, rhesus macaques were demonstrated more susceptible to SARS-CoV2 infection as compared to cynomolgus macaques and common marmosets"
"Rhesus and cynomolgus macaques showed mild to moderate clinical infections at doses of 4.75x106 PFU (delivered through several routes), while marmosets developed mild infections when exposed to 1x106 PFU intranasally."	"Rhesus macaques experienced only mild, transient respiratory symptoms when infected with 10 6 -10 8 PFU of MERS-CoV by either intratracheal route (IT) or multiple route (MR) (IT, intranasal [IN] , oral, and ocular routes concurrently) (24, 25) "
"Rhesus and cynomolgus macaques showed mild to moderate clinical infections at doses of 4.75x106 PFU (delivered through several routes), while marmosets developed mild infections when exposed to 1x106 PFU intranasally."	"Five rhesus macaques between the ages of 3 and 5 years were inoculated with 1 × 10 6 50% tissue-culture infectious doses (TCID 50 ) of SARS-CoV-2 via three routes: ocular conjunctival inoculation (CJ-1 and CJ-2), intragastric inoculation (IG-1 and IG-2), and intratracheal inoculation (IT-1)"
"Rhesus macaques are effectively infected with SARS-CoV-2 via the ocular conjunctival and intratracheal route at a dose of ~700,000 PFU (106 TCID50)."	"1 and 2), we rechallenged all 9 rhesus macaques with the same doses of SARS-CoV-2 that were utilized for the primary infection, namely 1.1 × 10 6 PFU (Group 1; N = 3), 1.1 × 10 5 PFU (Group 2; N = 3), or 1.1 × 10 4 PFU (Group 3; N = 3)"
"Rhesus macaques are effectively infected with SARS-CoV-2 via the ocular conjunctival and intratracheal route at a dose of ~700,000 PFU (106 TCID50)."	"Previously infected rhesus macaques challenged intratracheally with SARS-CoV-2 at 10 6 TCID 50 did not display reinfection characteristics when challenged again with the same dose, indicating some immunity conferred from an initial infection (Bao et al., 2020a) "
"Rhesus macaques are effectively infected with SARS-CoV-2 via the ocular conjunctival and intratracheal route at a dose of ~700,000 PFU (106 TCID50)."	Research on Rhesus macaques infected with SARS-CoV-2 was promising though showing that reinfection did not occur following rechallenge with the same dose of SARS-CoV-2 strain 71 
"Rhesus macaques are effectively infected with SARS-CoV-2 via the ocular conjunctival and intratracheal route at a dose of ~700,000 PFU (106 TCID50)."	Rhesus macaques can be effectively infected with SARS-CoV-2 via ocular conjunctival route 
"Rhesus macaques are effectively infected with SARS-CoV-2 via the ocular conjunctival and intratracheal route at a dose of ~700,000 PFU (106 TCID50)."	Research on Rhesus macaques infected with SARS-CoV-2 was promising though showing that reinfection did not occur following rechallenge with the same dose of SARS-CoV-2 strain [72] 
"Rhesus macaques are effectively infected with SARS-CoV-2 via the ocular conjunctival and intratracheal route at a dose of ~700,000 PFU (106 TCID50)."	"After 232 anesthetizing the animals, three male rhesus macaques were inoculated with 4 × 10 6 PFU 233 SARS-CoV-2, administered at a dose of 5 mL through intratracheal (4 mL) and intranasal (1 234 mL) instillation"
"Rhesus macaques are effectively infected with SARS-CoV-2 via the ocular conjunctival and intratracheal route at a dose of ~700,000 PFU (106 TCID50)."	Rhesus macaques can be infected with SARS-CoV-2 through direct conjunctival inoculation but develop less severe pulmonary disease than macaques inoculated through an intratracheal route (66) 
"Rhesus macaques are effectively infected with SARS-CoV-2 via the ocular conjunctival and intratracheal route at a dose of ~700,000 PFU (106 TCID50)."	A recent publication suggests that Rhesus macaques can be effectively infected with SARS-CoV-2 via the ocular surface conjunctival route 14 
"Rhesus macaques are effectively infected with SARS-CoV-2 via the ocular conjunctival and intratracheal route at a dose of ~700,000 PFU (106 TCID50)."	These results indicated that rhesus macaques can be infected with SARS-CoV-2 by conjunctival exposure and the systemic condition may be mild
"Rhesus macaques are effectively infected with SARS-CoV-2 via the ocular conjunctival and intratracheal route at a dose of ~700,000 PFU (106 TCID50)."	"7, 21 In both studies, rhesus 259 macaques were infected with 2.6x10 6 TCID50 of SARS-CoV-2 strain"
"Rhesus macaques infected with 2,600,000 TCID50 of SARS-CoV-2 by the intranasal, intratracheal, oral and ocular routes combined recapitulate moderate human disease."	"7, 21 In both studies, rhesus 259 macaques were infected with 2.6x10 6 TCID50 of SARS-CoV-2 strain"
"Rhesus macaques infected with 2,600,000 TCID50 of SARS-CoV-2 by the intranasal, intratracheal, oral and ocular routes combined recapitulate moderate human disease."	"Previously infected rhesus macaques challenged intratracheally with SARS-CoV-2 at 10 6 TCID 50 did not display reinfection characteristics when challenged again with the same dose, indicating some immunity conferred from an initial infection (Bao et al., 2020a) "
"Rhesus macaques infected with 2,600,000 TCID50 of SARS-CoV-2 by the intranasal, intratracheal, oral and ocular routes combined recapitulate moderate human disease."	"142, 143 Rhesus macaques infected by SARS-CoV-2 also exhibited humoral and cellular immune responses and were protected from rechallenge"
"Rhesus macaques infected with 2,600,000 TCID50 of SARS-CoV-2 by the intranasal, intratracheal, oral and ocular routes combined recapitulate moderate human disease."	Rhesus macaques can be infected with SARS-CoV-2 through direct conjunctival inoculation but develop less severe pulmonary disease than macaques inoculated through an intratracheal route (66) 
"Rhesus macaques infected with 2,600,000 TCID50 of SARS-CoV-2 by the intranasal, intratracheal, oral and ocular routes combined recapitulate moderate human disease."	Research on Rhesus macaques infected with SARS-CoV-2 was promising though showing that reinfection did not occur following rechallenge with the same dose of SARS-CoV-2 strain 71 
"Rhesus macaques infected with 2,600,000 TCID50 of SARS-CoV-2 by the intranasal, intratracheal, oral and ocular routes combined recapitulate moderate human disease."	"In our previous studies, rhesus macaques were intratracheally infected with SARS-CoV-2"
"Rhesus macaques infected with 2,600,000 TCID50 of SARS-CoV-2 by the intranasal, intratracheal, oral and ocular routes combined recapitulate moderate human disease."	Research on Rhesus macaques infected with SARS-CoV-2 was promising though showing that reinfection did not occur following rechallenge with the same dose of SARS-CoV-2 strain [72] 
"Rhesus macaques infected with 2,600,000 TCID50 of SARS-CoV-2 by the intranasal, intratracheal, oral and ocular routes combined recapitulate moderate human disease."	"We and others have reported that rhesus macaques can be infected with SARS-CoV-2 and show robust viral replication in the upper and lower respiratory tract (Munster et al., 2020; Chandrashekar et al., 2020) "
"Rhesus macaques infected with 2,600,000 TCID50 of SARS-CoV-2 by the intranasal, intratracheal, oral and ocular routes combined recapitulate moderate human disease."	Rhesus macaques can be effectively infected with SARS-CoV-2 via ocular conjunctival route 
"Rhesus macaques infected with 2,600,000 TCID50 of SARS-CoV-2 by the intranasal, intratracheal, oral and ocular routes combined recapitulate moderate human disease."	A study was conducted with rhesus macaques infected with SARS-CoV-2 (78) 
"A small study infected Rhesus macaques via ocular inoculation (1x106 TCID50), resulting in mild infection; however, gastric inoculation did not result in infection (same dose), suggesting a limited role of gastric transmission.Interpretation is limited due to the small scale."	Rhesus macaques are experimentally susceptible to poliovirus infection and develop encephalomyelitis if inoculated with poliovirus parenterally (usually intracranially)
"A small study infected Rhesus macaques via ocular inoculation (1x106 TCID50), resulting in mild infection; however, gastric inoculation did not result in infection (same dose), suggesting a limited role of gastric transmission.Interpretation is limited due to the small scale."	"Five rhesus macaques between the ages of 3 and 5 years were inoculated with 1 × 10 6 50% tissue-culture infectious doses (TCID 50 ) of SARS-CoV-2 via three routes: ocular conjunctival inoculation (CJ-1 and CJ-2), intragastric inoculation (IG-1 and IG-2), and intratracheal inoculation (IT-1)"
"A small study infected Rhesus macaques via ocular inoculation (1x106 TCID50), resulting in mild infection; however, gastric inoculation did not result in infection (same dose), suggesting a limited role of gastric transmission.Interpretation is limited due to the small scale."	"2 In one experiment, rhesus macaques acquired COVID-19 infection through conjunctival inoculation"
"A small study infected Rhesus macaques via ocular inoculation (1x106 TCID50), resulting in mild infection; however, gastric inoculation did not result in infection (same dose), suggesting a limited role of gastric transmission.Interpretation is limited due to the small scale."	"Rhesus macaques reinfected with the identical SARS-CoV-2 strain during the early recovery phase of the initial SARS-CoV-2 infection did not show detectable viral dissemination, clinical manifestations of viral disease, or histopathological changes"
"A small study infected Rhesus macaques via ocular inoculation (1x106 TCID50), resulting in mild infection; however, gastric inoculation did not result in infection (same dose), suggesting a limited role of gastric transmission.Interpretation is limited due to the small scale."	"Consistent with this perspective, a recent study revealed that rhesus macaques can be infected with COVID-19 through ocular conjunctival inoculation [26] "
"A small study infected Rhesus macaques via ocular inoculation (1x106 TCID50), resulting in mild infection; however, gastric inoculation did not result in infection (same dose), suggesting a limited role of gastric transmission.Interpretation is limited due to the small scale."	"Reviewer #3 (Remarks to the Author): This manuscript investigates whether different inoculation routes, including intraconjunctival, intragastric and intratracheal, result in infection in Rhesus macaques"
"A small study infected Rhesus macaques via ocular inoculation (1x106 TCID50), resulting in mild infection; however, gastric inoculation did not result in infection (same dose), suggesting a limited role of gastric transmission.Interpretation is limited due to the small scale."	Rhesus macaques can be infected with SARS-CoV-2 through direct conjunctival inoculation but develop less severe pulmonary disease than macaques inoculated through an intratracheal route (66) 
"A small study infected Rhesus macaques via ocular inoculation (1x106 TCID50), resulting in mild infection; however, gastric inoculation did not result in infection (same dose), suggesting a limited role of gastric transmission.Interpretation is limited due to the small scale."	Research on Rhesus macaques infected with SARS-CoV-2 was promising though showing that reinfection did not occur following rechallenge with the same dose of SARS-CoV-2 strain 71 
"A small study infected Rhesus macaques via ocular inoculation (1x106 TCID50), resulting in mild infection; however, gastric inoculation did not result in infection (same dose), suggesting a limited role of gastric transmission.Interpretation is limited due to the small scale."	Research on Rhesus macaques infected with SARS-CoV-2 was promising though showing that reinfection did not occur following rechallenge with the same dose of SARS-CoV-2 strain [72] 
"A small study infected Rhesus macaques via ocular inoculation (1x106 TCID50), resulting in mild infection; however, gastric inoculation did not result in infection (same dose), suggesting a limited role of gastric transmission.Interpretation is limited due to the small scale."	"(2020) , ""Lack of Reinfection in Rhesus Macaques Infected with SARS-CoV-2"", bioRxiv,"
"African green monkeys replicate aspects of human disease, including severe pathological symptoms (exposed to 500,000 PFU via intranasal and intratracheal routes), mild clinical symptoms (aerosol exposures between 5,000 and 16,000 PFU), and acute respiratory distress syndrome (ARDS), with small particle aerosol exposure doses as low as 2,000 PFU."	"For initial development of a MERS-CoV primate model, 12 African green monkeys were exposed to 10 3 , 10 4 , or 10 5 PFU target doses of aerosolized MERS-CoV"
"African green monkeys replicate aspects of human disease, including severe pathological symptoms (exposed to 500,000 PFU via intranasal and intratracheal routes), mild clinical symptoms (aerosol exposures between 5,000 and 16,000 PFU), and acute respiratory distress syndrome (ARDS), with small particle aerosol exposure doses as low as 2,000 PFU."	"Here, we show that African green 16 monkeys support a high level of SARS-CoV-2 replication and develop pronounced respiratory disease that may 17 be more substantial than reported for other NHP species including cynomolgus and rhesus macaques"
"African green monkeys replicate aspects of human disease, including severe pathological symptoms (exposed to 500,000 PFU via intranasal and intratracheal routes), mild clinical symptoms (aerosol exposures between 5,000 and 16,000 PFU), and acute respiratory distress syndrome (ARDS), with small particle aerosol exposure doses as low as 2,000 PFU."	"Here, we show that African green 16 monkeys support a high level of SARS-CoV-2 replication and develop pronounced respiratory disease that may 17 be more substantial than reported for other NHP species including cynomolgus and rhesus macaques"
"African green monkeys replicate aspects of human disease, including severe pathological symptoms (exposed to 500,000 PFU via intranasal and intratracheal routes), mild clinical symptoms (aerosol exposures between 5,000 and 16,000 PFU), and acute respiratory distress syndrome (ARDS), with small particle aerosol exposure doses as low as 2,000 PFU."	Infection of African green monkeys (AGM) with a low passage human isolate of SARS-CoV-2 by aerosol or mucosal exposure resulted in mild clinical infection with a transient decrease in lung tidal volume
"African green monkeys replicate aspects of human disease, including severe pathological symptoms (exposed to 500,000 PFU via intranasal and intratracheal routes), mild clinical symptoms (aerosol exposures between 5,000 and 16,000 PFU), and acute respiratory distress syndrome (ARDS), with small particle aerosol exposure doses as low as 2,000 PFU."	Infection of African green monkeys (AGM) with a low passage human isolate of SARS-CoV-2 by aerosol or mucosal exposure resulted in mild clinical infection with a transient decrease in lung tidal volume
"African green monkeys replicate aspects of human disease, including severe pathological symptoms (exposed to 500,000 PFU via intranasal and intratracheal routes), mild clinical symptoms (aerosol exposures between 5,000 and 16,000 PFU), and acute respiratory distress syndrome (ARDS), with small particle aerosol exposure doses as low as 2,000 PFU."	"African green monkeys (AGMs) exposed to SARS-CoV-2 as young adults display a mild, nonlethal shedding disease phenotype, which includes little to no clinical observations (Hartman et J o u r n a l P r e -p r o o f al., 2020)"
"African green monkeys replicate aspects of human disease, including severe pathological symptoms (exposed to 500,000 PFU via intranasal and intratracheal routes), mild clinical symptoms (aerosol exposures between 5,000 and 16,000 PFU), and acute respiratory distress syndrome (ARDS), with small particle aerosol exposure doses as low as 2,000 PFU."	"In another study, African green monkeys were immunized through the respiratory tract with two doses of 10 7 PFU of NDV expressing the S glycoproteins of SARS-CoV"
"African green monkeys replicate aspects of human disease, including severe pathological symptoms (exposed to 500,000 PFU via intranasal and intratracheal routes), mild clinical symptoms (aerosol exposures between 5,000 and 16,000 PFU), and acute respiratory distress syndrome (ARDS), with small particle aerosol exposure doses as low as 2,000 PFU."	"Further, African green monkeys are susceptible to SARS-CoV-2 infection (19) (20) (21) "
"African green monkeys replicate aspects of human disease, including severe pathological symptoms (exposed to 500,000 PFU via intranasal and intratracheal routes), mild clinical symptoms (aerosol exposures between 5,000 and 16,000 PFU), and acute respiratory distress syndrome (ARDS), with small particle aerosol exposure doses as low as 2,000 PFU."	"Further, African green monkeys are susceptible to SARS-CoV-2 infection (19) (20) (21) "
"African green monkeys replicate aspects of human disease, including severe pathological symptoms (exposed to 500,000 PFU via intranasal and intratracheal routes), mild clinical symptoms (aerosol exposures between 5,000 and 16,000 PFU), and acute respiratory distress syndrome (ARDS), with small particle aerosol exposure doses as low as 2,000 PFU."	"Increasing age, genetic  Shedding of infectious virus and PET/CT lesions in SARS-CoV-2 infected African green monkeys variability, and spontaneous hypertension, diabetes, and cardiovascular disease may lead to more severe outcomes in AGMs when infected with SARS-CoV-2, and thus may more accurately reflect the variation seen in the human population"
"Aerosol exposure of three primate species (African green monkeys, cynomolgus macaques, and rhesus macaques) via a Collison nebulizer resulted in mild clinical disease in all animals with doses between 28,700 and 48,600 PFU."	"For initial development of a MERS-CoV primate model, 12 African green monkeys were exposed to 10 3 , 10 4 , or 10 5 PFU target doses of aerosolized MERS-CoV"
"Aerosol exposure of three primate species (African green monkeys, cynomolgus macaques, and rhesus macaques) via a Collison nebulizer resulted in mild clinical disease in all animals with doses between 28,700 and 48,600 PFU."	Aerosol exposure of African green monkeys might provide a platform approach for the development of primate models of novel coronavirus diseases
"Aerosol exposure of three primate species (African green monkeys, cynomolgus macaques, and rhesus macaques) via a Collison nebulizer resulted in mild clinical disease in all animals with doses between 28,700 and 48,600 PFU."	"In another study, African green monkeys were immunized through the respiratory tract with two doses of 10 7 PFU of NDV expressing the S glycoproteins of SARS-CoV"
"Aerosol exposure of three primate species (African green monkeys, cynomolgus macaques, and rhesus macaques) via a Collison nebulizer resulted in mild clinical disease in all animals with doses between 28,700 and 48,600 PFU."	"From day 19 to 24, twice daily for 20 min, the animals were subjected to exposure to aerosolized OVA (3% in normal saline) in a closed chamber connected to a nebulizer (Aeroneb ® Lab Nebulizer, Kent Scientific Corporation, Torrington, Connecticut, USA) ( Figure 1 )"
"Aerosol exposure of three primate species (African green monkeys, cynomolgus macaques, and rhesus macaques) via a Collison nebulizer resulted in mild clinical disease in all animals with doses between 28,700 and 48,600 PFU."	Rhesus macaques received 3 vaccine doses of either 3µg or 6µg at 1-week intervals
"Aerosol exposure of three primate species (African green monkeys, cynomolgus macaques, and rhesus macaques) via a Collison nebulizer resulted in mild clinical disease in all animals with doses between 28,700 and 48,600 PFU."	"In a viral challenge study conducted in rhesus macaques, twelve animals were randomized into 4 groups to receive 2 medium or high doses of the vaccine (Day 0.14) or 3 doses of adjuvant (alum, Day 0.7, 14) or the same volume of saline"
"Aerosol exposure of three primate species (African green monkeys, cynomolgus macaques, and rhesus macaques) via a Collison nebulizer resulted in mild clinical disease in all animals with doses between 28,700 and 48,600 PFU."	Indian rhesus macaques received two doses of PIZV at varying concentrations ranging from 0.016 µg − 10 µg and were subsequently challenged with ZIKV six weeks or one year following the second immunization
"Aerosol exposure of three primate species (African green monkeys, cynomolgus macaques, and rhesus macaques) via a Collison nebulizer resulted in mild clinical disease in all animals with doses between 28,700 and 48,600 PFU."	"Most recently, a study experimented on non-human primates (rhesus macaques), rat, and mice (BALB/c) at two different doses (3 and 6 µg) for the investigation of protective potential and immunogenicity of purified inactivated virus vaccine candidate (PiCoVacc)"
